a	art. 一（个）；每一（个）
file	n. 档案 v. 把…归档
fill	v. 装满，盛满；占满
film	n. 影片；胶卷；薄层
filter	v. 过滤，透；走漏 n. 滤纸， 过滤嘴
final	adj. 最后的；决定性的
finally	adv. 最后； 决定性地
finance	v. 筹措资金 n. 财政，金融；财源，财务情况
financial	adj. 财政的， 金融的
find	v. 找到；找出；发觉
finding	n. 发现； 调查的结果； 裁决
fine	adj. 美好的；纤细的
finger	n. 手指；指状物
finish	v. 完成；结束 n. 结尾
fire	n. 火；火灾 v. 开火
fireman	n. 消防队员； 司炉工
firm	n. 商行，商号，公司
first	num. 第一 adv. 最初
fish	n. 鱼；鱼肉 v. 钓鱼
fisherman	n. 渔民，渔夫，打鱼人
fist	n. 拳（头）
fit	v. 适合；安装
fitness	n. 健康
five	num. 五，五个，第五
fix	v. 决定；使固定
flag	n. 旗，旗帜
flame	n. 火焰， 光辉； 热情
flare	v. 闪耀
flash	vi. 闪， 闪烁； 飞驰 n. 闪光；闪光灯
flat	adv. 平直地； 直截了当地 adj. 平的；固定的；漏气的；平淡的；沉闷的；浅的 n. 一套房间，单元住宅
flavour	n. 味，味道；风味
flaw	n. 缺点；错误
flee	v. 逃走， 逃掉， 逃离； 避开， 逃避
fleet	n. 舰队， 船队
flesh	n. 肉， 肌肉， 肉体
flexibility	n. 灵活性， 机动性， 柔韧性
flexible	adj. 易弯曲的， 灵活的
flight	n. 航班；飞行；逃跑
float	v. 浮动， 漂浮； 飘动
flock	n. 羊群， 群； 大量
flood	v. 淹没； 涌入 n. 洪水；大量
floor	n. 地板；楼层
flour	n. 面粉； 粉， 粉状物质
flourish	vi. 繁荣，茂盛，兴旺 vt. 挥动
flow	n. 流动 v. 流动
flower	n. 花，花卉；开花
flu	n. 流行性感冒
fluent	adj. 流利的， 流畅的
fluid	adj. 流动的 n. 流体，液体
flush	v. （脸）发红
fly	n. 蝇，苍蝇 v. 飞行
focus	v. 聚焦；集中 n. 焦点； 中心
fog	n. 雾， 烟雾， 尘雾
fold	v. 折叠，合拢 n. 褶， 折叠的部分
folk	n. 人们； 家属， 亲属； 大伙儿， 各位
follow	v. 跟随；结果是
following	adj. 接着的，下列的 n. 一批追随者
fond	adj. 喜爱的；溺爱的
food	n. 食物，食品；养料，精神食粮
fool	n. 蠢人，傻子 v. 欺骗
foolish	adj. 愚蠢的；鲁莽的
foot	n. 脚；最下部；英尺
football	n. 足球
foothold	n. 立足处（攀登时脚踩的地方）
footstep	n. 脚步， 脚步声， 足迹
for	prep. 给；为；因为
forbid	vt. 禁止， 不许， 阻止
force	vt. 强迫；用力推动，用力打开 n. 军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力
forecast	v. 预测， 预报 n. 预测，预报
forefinger	n. 食指
forehead	n. 额头； 前部
foreign	adj. 外国的；外来的
foreigner	n. 外国人
foremost	adj. 最初的；第一流的
foreseeable	adj. 可以预见的
forest	n. 森林；森林地带
forever	adv. 永远；总是，老是
forge	vt. 打制， 锻造； 伪造
forget	v. 忘记，遗忘
forgive	v. 原谅，饶恕，宽恕
fork	n. 餐叉；叉；分叉
form	n. 形式；形状 v. 形成
formal	adj. 正式的， 礼仪上的
format	n. 设计，安排；格式，样式，版式 vt. 使格式化
formation	n. 形成， 构成， 形成物； 队形， 排列
former	adj. 在前的 n. 前者
formula	n. 公式， 方程式； 原则， 方案； 配方
formulate	v. 规定，制定
forth	adv. 向前； 向外， 往外
fortnight	n. 两星期， 十四天
fortunate	adj. 幸运的；侥幸的
fortunately	adv. 幸运地； 幸亏
fortune	n. 运气；巨款；命运
forty	num. 四十，第四十
forum	n. 论坛
forward	adv. 向前；今后，往后
found	v. 创立，创办；建立
foundation	n. 地基；基础；；基金会
fountain	n. 泉水； 喷泉； 源泉
four	num. 四，四个，第四
fourfold	adv. 四倍， 四重 adj. 四倍的，四重的
fourteen	num. 十四
fourth	pron. 第四 n. 四分之一
fox	n. 狐狸；狡猾的人
fraction	n. 小部分； 片断； 分数
fragment	v. 成碎片 n. 碎片，破片，碎块
frame	n. 框架，框子，构架 vt. 给…镶框； 陷害， 诬告； 制定； 表达
framework	n. 框架， 结构； 准则； 体系
France	n. 法国，法兰西
frank	adj. 坦白的， 直率的
free	adj. 自由的；空闲的
freedom	n. 自由；自主
freely	adv. 自由地；直率地
freeze	v. 冻；结冻
freight	n. 货运；货物；运费 vt. 运送
French	adj. 法国的 n. 法国人
frequency	n. 屡次； 次数， 频率
frequent	adj. 时常发生的，常见的 v. 常到， 常去
frequently	adv. 时常，常常
fresh	adj. 新的；新鲜的
friction	n. 摩擦；摩擦力
Friday	n. 星期五
fridge	n. 电冰箱
friend	n. 朋友，友人
friendly	adj. 友好的；友谊的
friendship	n. 友谊；友好
frighten	v. 使惊恐，使恐慌
frog	n. 蛙
from	prep. 从…来
front	adj. 前面的 n. 前部
frontier	n. 边境， 边疆； 新领域
frost	v. 结霜 n. 冰冻，严寒；霜
frown	n&vi. 皱眉， 蹙额
fruit	n. 水果；果实；成果
fruitful	adj. 多产的， 肥沃的
frustrate	vt. 使沮丧， 使灰心； 挫败， 使受挫折
fry	vt. 油煎， 油炸， 油炒
fuel	vi. 加燃料； 加油 n. 燃料，燃料剂 vt. 给…加燃料；刺激
fulfil	vt. 履行， 实现， 完成； 满足， 使满意
fulfill	vt. 履行， 实现， 完成； 满足， 使满意
full	adj. 满的；完全的
fun	n. 乐趣，娱乐；玩笑
function	vi. 运作， 运行 n. 功能；职务，职责
fund	n. 资金，基金；存款 vt. 为…提供资金
fundamental	adj. 基础的，基本的 n. 基本原则
fundamentally	adv. 根本上
funeral	n. 葬礼， 丧礼， 丧葬
funny	adj. 滑稽的；古怪的
fur	n. 软毛， 毛皮， 裘皮； 毛皮衣服
furious	adj. 狂怒的；狂暴的
furnace	n. 炉子， 熔炉， 鼓风炉
furnish	v. 装备，布置 （房间、建筑物）；供应，提供
furniture	n. 家具
further	adv. 更远地 adj. 更远的
furthermore	adv. 而且， 此外
fuss	n&vi. 忙乱； 大惊小怪， 小题大做； 烦恼， 过于忧虑
fussy	adj. 爱挑剔的；
future	n. 将来，未来；前途
gain	v. 获得；增加 n. 增进
gallery	n. 画廊， 美术馆； 楼座； 旁听席； 回廊， 走廊
gallon	n. 加仑
gambling	n. 赌博
game	n. 游戏；比赛；猎物
gang	vi. 聚集， 结成一伙 n. 一帮，一伙
gaol	vt. 监禁 n. 监狱
gap	n. 缺口； 间隔； 差距； 缺陷
garage	n. 车库；加油站
garbage	n. 垃圾， 废物； 废话； 无用的资料
garden	n. 花园，菜园；公园
gardener	n. 园丁， 花匠
garlic	n. 大蒜
gas	n. 气体；煤气；汽油
gaseous	adj. 气体的，气态的
gasoline	n. （美）汽油
gasp	v. 气喘，喘息
gate	n. 大门；篱笆门
gather	v. 聚集；集合；收集
gauge	v. 量，测量 n. 量器
gay	adj. 快乐的；鲜明的
gaze	n&vi. 凝视， 盯， 注视
gear	n. 齿轮，传动装置，排挡；用具，设备；衣服 vt. 使适应， 使适合
gender	n. 性别
gene	n. 基因
general	adj. 总的；一般的 n. 将军
generalization	n. 概括
generally	adv. 一般地， 通常地； 普遍地
generate	vt. 发生， 引起； 生殖
generation	n. 一代，一代人；产生
generator	n. 发电机； 发生器
generic	adj. 【生物】 属的， 类的； 一般的， 普通的
generosity	n. 慷慨，大方
generous	adj. 慷慨的； 宽厚的； 大量的
genius	n. 天才， 天赋， 天资； 天才人物
gentle	adj. 和蔼的；轻柔的
gentleman	n. 绅士；有教养的人
gently	adv. 有礼貌地；柔和地
genuine	adj. 真的， 真正的； 真诚的
geographic	adj. 地理的
geography	n. 地理，地理学
geometry	n. 几何， 几何学
germ	n. 微生物， 细菌； 幼芽
German	adj. 德国的 n. 德国人
Germany	n. 德意志，德国
gesture	v. 做手势 n. 姿势，手势，姿态
get	v. 获得，得到；到达；变成，成为
ghost	n. 鬼， 灵魂， 鬼魂
giant	adj. 巨大的 n. 巨人，巨物；才智超群的人
gift	n. 礼物，赠品；天赋
girl	n. 女孩子，姑娘；女儿
give	v. 做，作；送给
given	adj. 规定的，特定的；假设的；已知的；有癖好的，有倾向的 prep. 考虑到
glad	adj. 高兴的；乐意的
glance	vi. 看一下 n. 一瞥 vt. 用扫视； 反射
glare	v. 瞪眼 n. 瞪眼
glass	n. 玻璃；玻璃杯
glide	v. 滑动 n. 滑行
glimpse	vi. 看一眼，一瞥 vt. 瞥见 n. 一瞥， 一看
glitter	v. 闪闪发光 n. 闪光
global	adj. 全球的， 全世界的； 总的， 完整的
globe	n. 地球， 世界； 地球仪； 球体
gloomy	adj. 黑暗的；令人沮丧的
glorious	adj. 光荣的； 壮丽的； 令人愉快的
glory	n. 光荣， 荣誉的事； 美丽
glove	n. 手套
glow	v. 发白热光 n. 白热光；脸红；激情
glue	n. 胶，胶水 vt. 胶合
go	v. 去；走；变为
goal	n. 目的；球门；得分
goat	n. 山羊
God	n. 神，神像；上帝
gold	n. 金 adj. 金制的
golden	adj. 金色的；极好的
golf	n. 高尔夫球运动
good	adj. 好的；有本事的
goodness	int. 天哪 n. 善良， 美德， 好意
goods	n. 货物；商品
goose	n. 鹅；雌鹅
govern	vi. 居支配地位， 占优势 vt. 统治，治理，支配
government	n. 政府；治理；政治
governor	n. 州长； 主管人员； 理事， 董事
gown	n. 长袍，长外衣
grab	v. 抓取，攫取；赶紧做；抓住；抓，夺 n. 抓， 夺
grace	n. 优美，优雅；风度，魅力；宽限，缓期 vt. 使优美
graceful	adj. 优美的， 优雅的； 得体的
gracious	adj. 有礼貌的；仁慈的
grade	v. 给…分等级 n. 等级
gradual	adj. 逐渐的， 渐进的； 坡度平缓的
gradually	adv. 逐渐地，逐步地
graduate	adj. 研究生的 v. 毕业 n. 毕业生；研究生
grain	n. 谷物， 谷粒； 颗粒； 少量， 微量
gram	n. 克
grammar	n. 语法； 语法书
grammatical	adj. 语法上的
gramme	n. gram的英式拼法
grand	adj. 宏伟的； 重大的； 傲慢的； 派头大的； 绝佳的； 全部的
granddaughter	n. 孙女，外孙女
grandfather	n. 祖父；外祖父
grandmother	n. 祖母，外祖母
grandson	n. 孙子，外孙子
grant	n. 授予物；补助金 vt. 授予， 给予； 同意
grape	n. 葡萄， 葡萄藤
graph	n. （曲线）图，图表
grasp	vt. 抓紧，握紧；理解 n. 抓； 理解
grass	n. 草；牧草；草地
grateful	adj. 感激的； 令人愉快的
gratitude	n. 感激， 感谢， 感恩
grave	adj. 严重的； 严肃的 n. 坟墓
gravity	n. 重力， 引力； 严重性； 严肃， 庄重
gray	adj. 灰色的 n. 灰色
great	adj. 大的；伟大的
greatly	adv. 大大地，非常
greedy	adj. 贪吃的； 贪婪的； 渴望的
Greek	adj. 希腊的 n. 希腊人
green	adj. 绿色的 n. 绿色
greenhouse	n. 温室，玻璃暖房
greet	v. 问候，招呼；反应
greeting	n. 问候，招呼，致敬
grey	adj. 灰色的 n. 灰色
grid	n. 输电网
grief	n. 悲伤
grieve	v. 悲痛；使悲痛
grind	v. 磨（碎）；磨利
grip	v. 握紧，抓牢；吸引住 n. 紧握
groan	v. 哼，呻吟 n. 呻吟
grocer	n. 食品商， 杂货商
grocery	n. 食品杂货店
gross	adj. 总的； 严重的； 粗俗的； 臃肿的
ground	n. 地；场地；根据
groundlessly	adv. 无缘无故地，无根据地
groundsheet	n. 防潮布
group	n. 小组，群 v. 聚集
grow	v. 增长；生长
growth	n. 增长， 增长量； 生长， 生长物
guarantee	n. 保证；保证书；担保物 vt. 保证， 担保
guard	v. 守卫；看守 n. 卫兵
guess	v. 猜测，推测 n. 猜测，推测
guest	n. 客人，宾客；旅客
guidance	n. 引导， 指导， 领导
guide	n. 导游者 v. 给某人领路，带领
guideline	n. 指导方针， 准则
guilt	n. 有罪，犯罪行为
guilty	adj. 内疚的； 有罪的
guitar	n. 吉他， 六弦琴
gulf	n. 海湾； 巨大的分歧
gum	n. 口香糖； 树胶
gun	n. 枪，炮，手枪
gunpowder	n. 黑色火药；有烟火药
guy	n. 家伙， 伙计
gym	n. 体育馆； 健身房
gymnasium	n. 体育馆， 健身房
habit	n. 习惯；习性
habitual	adj. 习惯性的，惯常的
hair	n. 头发；毛发；毛
haircut	n. 理发
half	n. 半，一半 adj. 一半的
halfway	adv. 半路地； 在中途， 在半途 adj. 中途的；部分的；不彻底的
hall	n. 门厅；过道；会堂
halt	vt. 停止，立定 n. 停住
hamburger	n. 汉堡包，牛肉饼
hammer	n. 锤，榔头 v. 锤击
hand	n. 手；指针
handbag	n. 手提包
handful	n. 一把， 少数， 一小撮
handkerchief	n. 手帕
handle	n. 柄，把手 vt. 拿， 触； 操作， 处理
handsome	adj. 英俊的；相当大的
handwriting	n. 笔迹， 手迹； 书法
handy	adj. 手边的， 便于使用的
hang	v. 挂，悬；吊死
happen	vi. 发生； 碰巧， 恰好
happiness	n. 幸福，幸运；快乐
happy	adj. 快乐的；幸福的
harbour	n. 海港，港口 vt. 庇护； 心怀
hard	adj. 硬的；困难的
harden	v. 变硬； 变得坚强
hardly	adv. 几乎不，简直不
hardship	n. 艰难， 困苦
hardware	n. 五金器具； 硬件
hardworking	adj. 苦干的，不辞辛劳的
hare	n. 野兔
harm	n. 损害；危害；伤害 v. 伤害，损害〔某事物〕
harmful	adj. 有害的
harmony	n. 调和， 协调， 和谐
harness	v. 控制[利用]〔自然力等〕 n. 马具，挽具
harsh	adj. 严厉的； 粗糙的
harvest	n. 收获；收成 v. 收割
haste	n. 急速， 急忙； 草率
hasten	v. 催促；赶紧
hasty	adj. 急速的；仓促的
hat	n. 帽子（一般指有边的）
hatch	v. （蛋）孵化；孵出
hate	v. 恨，憎恨；不喜欢
hateful	adj. 可恨的，可恶的
hatred	n. 憎恶， 憎恨， 仇恨
have	aux v. （与过去分词连用构成完成时） v. 有；吃
hawk	n. 鹰，隼
hay	n. 干草
hazard	n. 危险；公害 vt. 尝试着做； 冒…风险
he	pron. （主格）他
head	n. 头；上端 v. 率领
headache	n. 头痛；头痛的事
heading	n. 标题， 题词， 题名； 新闻提要
headline	n. 大字标题； 新闻提要
headmaster	n. 校长
headquarter	v. 设立总部，在…设立总部
headquarters	n. 司令部， 总部
heal	vi. 愈合， 痊愈， 恢复健康 vt. 使愈合，治愈，使康复；调停，消除
health	n. 健康状况；健康
healthy	adj. 健康的；有益健康的
heap	n. （一）堆；大量
hear	v. 听见；听说；审讯
hearing	n. 听力， 听觉； 听力所及之距离； 意见听取会； 申辩的机会
heart	n. 心，内心；勇气
heat	n. 热；炎热 v. 变热
heating	n. 加热，供暖
heave	vi. 起伏，隆起；呕吐，恶心 vt. 举起，提起，拉起，拖；扔；发出 n. 举起； 起伏， 升降
heaven	n. 天堂；天，天空
heavily	adv. 重重地；大量地
heavy	adj. 重的；大的；充满的
hedge	v. 用篱笆围； 避免直接回答 n. 篱笆，树篱；障碍物
heel	n. 脚后跟，踵；中文释义: 后跟
height	n. 高，高度；高处
heir	n. 后嗣，继承人
helicopter	n. 直升机
hell	n. 地狱； 极大的痛苦
hello	int. 喂
helmet	n. 头盔，钢盔
help	v. 帮助；援助 n. 帮手
helpful	adj. 给予帮助的； 有用的
helpless	adj. 无助的； 无能的； 无法抗拒的
hen	n. 母鸡， 雌禽
hence	adv. 因此，所以；今后；今后
her	pron. （宾格）她 determiner.. 她的
herd	n. 兽群，牧群 vt. 放牧
here	adv. 这里；向这里
hero	n. 英雄；勇士；男主角
heroic	adj. 英雄的； 英勇的
heroine	n. 女英雄；女主角
hers	pron. 她的（所有物）
herself	pron. 她自己；她亲自
hesitant	adj. 犹豫的； 吞吞吐吐的
hesitate	vi. 犹豫， 踌躇； 含糊； 不情愿
heterogeneity	n. 异种， 异质， 不同成分
hi	int. 嗨（表示问候等）
hide	v. 把…藏起来；隐瞒
high	adj. 高的；高级的 adv. 高
highlight	vt. 强调，突出，使显著 n. 最精彩的部分； 最重要的事件
highly	adv. 高度地， 极， 非常赞许地
highway	n. 公路， 大路
hill	n. 小山，山岗；丘陵
hillside	n. （小山）山腰，山坡
him	pron. （宾格）他
himself	pron. 他自己；他亲自
hinder	v. 阻碍
hint	v. 暗示， 示意 n. 暗示，示意；细微的迹象；建议
hip	n. 臀部， 髋部
hire	v. 租借 n. 租用，雇用
his	pron. 他的，他的东西
historic	adj. 历史上著名的， 具有重大历史意义的
historical	adj. 历史的， 有关历史的
history	n. 历史；个人经历
hit	n. (唱片、电影或戏剧的) 成功；命中，击中
hobby	n. 业余爱好， 癖好
hold	v. 拿住；掌握；拥有
hole	n. 洞；孔眼；裂开处
holiday	n. 假期；假日，节日
hollow	adj. 空的， 空洞的； 沉闷的； 虚伪的
holy	adj. 神圣的， 圣洁的， 虔诚的
home	n. 家；家乡 adj. 家庭的
homemaker	n. 主妇
homogeneous	adj. 同种类的， 同性质的， 有相同特征的
honest	adj. 诚实的
honesty	n. 诚实，正直
